Metric,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021
Token holders,35400,35200,35000,34800,34600,34600,34400,34500,34300,34100,33900,33700,33600,33500,33100,32800,32700,32400,32100,31900,31600,31400,31000,30500,31100,31000,30500,30300,29800,29200,27800,26600,26200,25800,24900,23800,23100,22200,21100,20000,18200,14600,12800,8700,4500,2000,1100,1100,N/A,N/A,N/A,N/A,N/A
P/F ratio (fully diluted),520.4,571.2,513.3,711.2,723.7,644.0,493.3,441.3,375.8,423.8,419.0,413.5,378.7,283.8,293.2,144.9,106.7,121.8,102.0,77.3,59.1,23.7,19.2,18.9,23.0,29.9,28.8,39.4,40.6,72.4,44.7,50.4,59.1,60.9,44.2,32.8,18.7,26.5,20.4,8.7,13.2,8.7,20.3,27.5,56.0,240.4,199.0,108.7,N/A,N/A,N/A,N/A,N/A
P/F ratio (circulating),427.6,465.6,414.9,571.0,572.3,503.4,381.0,338.3,285.0,319.6,313.2,305.4,276.3,204.8,208.9,98.3,70.8,79.9,66.1,49.4,36.7,14.4,11.5,11.3,13.7,17.5,16.7,22.5,22.8,40.0,24.3,26.5,30.4,30.4,21.6,15.6,8.6,11.8,9.2,3.7,5.8,6.6,14.6,17.7,10.6,27.0,15.8,16.1,N/A,N/A,N/A,N/A,N/A
P/S ratio (fully diluted),520.4,571.2,513.3,711.2,723.7,644.0,493.3,441.3,375.8,423.8,419.0,413.5,378.7,283.8,293.2,144.9,106.7,121.8,102.0,77.3,59.1,23.7,19.2,18.9,23.0,29.9,28.8,39.4,40.6,72.4,44.7,50.4,59.1,60.9,44.2,32.8,18.7,26.5,20.4,8.7,13.2,8.7,20.3,27.5,56.0,240.4,199.0,108.7,N/A,N/A,N/A,N/A,N/A
P/S ratio (circulating),427.6,465.6,414.9,571.0,572.3,503.4,381.0,338.3,285.0,319.6,313.2,305.4,276.3,204.8,208.9,98.3,70.8,79.9,66.1,49.4,36.7,14.4,11.5,11.3,13.7,17.5,16.7,22.5,22.8,40.0,24.3,26.5,30.4,30.4,21.6,15.6,8.6,11.8,9.2,3.7,5.8,6.6,14.6,17.7,10.6,27.0,15.8,16.1,N/A,N/A,N/A,N/A,N/A
Active users (daily),12.4,18.4,6.2,7.3,11.5,7.7,4.9,2.4,4.9,7.3,7.9,11.5,16.5,77.6,86.9,64.4,110.0,165.8,176.9,211.2,367.2,940.6,103.3,22.2,14.7,24.6,36.5,38.9,21.6,19.1,25.3,19.9,29.6,36.8,38.0,83.1,137.8,169.8,192.0,315.3,1900,1300,1300,801.7,211.0,34.1,24.8,N/A,N/A,N/A,N/A,N/A,N/A
Active users (weekly),100.7,88.3,37.6,39.8,72.2,37.3,23.6,15.1,27.3,39.7,42.6,51.5,162.5,458.3,511.6,421.6,758.3,1100,1100,1400,2600,6400,228.8,127.3,79.8,129.5,180.5,185.3,95.3,93.5,127.4,109.5,151.2,171.6,162.2,420.9,734.8,886.3,949.7,2000,8500,6100,5400,3200,920.9,143.6,124.2,N/A,N/A,N/A,N/A,N/A,N/A
Active users (monthly),436.6,175.1,135.4,161.3,244.1,105.0,58.4,66.4,89.6,122.0,156.8,167.8,1200,1800,1900,2200,3600,4300,4700,7400,15200,18700,551.6,368.4,307.5,484.1,485.9,506.8,265.1,342.4,385.3,412.0,482.2,488.8,772.6,1400,2400,3000,3400,15300,18200,16000,11700,6100,1500,337.6,413.2,N/A,N/A,N/A,N/A,N/A,N/A
Core developers,4.6,4.3,4.8,4.9,4.0,5.7,4.1,4.3,5.0,5.9,6.8,5.9,4.6,6.4,7.2,5.2,4.3,6.5,5.7,6.1,5.3,7.3,7.9,5.2,5.2,6.2,7.9,9.4,6.3,4.9,4.9,3.8,7.5,4.5,3.6,6.3,7.9,6.9,8.1,9.3,4.0,3.8,2.1,1.5,2.2,2.5,3.4,3.0,1.9,0.8,2.3,1.6,N/A
Code commits,20.0,6.0,16.0,37.0,52.0,96.0,25.0,29.0,74.0,64.0,72.0,30.0,35.0,33.0,59.0,31.0,19.0,72.0,77.0,43.0,30.0,65.0,132.0,92.0,41.0,51.0,74.0,251.0,156.0,114.0,113.0,34.0,103.0,211.0,15.0,45.0,278.0,117.0,53.0,160.0,53.0,32.0,38.0,19.0,4.0,22.0,26.0,18.0,42.0,2.0,18.0,32.0,N/A
